iso3,name,indicator,axis,raw_value,transform,value_used,provenance_class,source,url
EUU,European Union,I1_idi_2024,infrastructure_posture,91.3,none,91.3,programmatic,"ITU IDI 2024, Report Table 1",https://www.itu.int
EUU,European Union,I2_broadband,infrastructure_posture,45.0493,none,45.0493,programmatic,World Bank WDI IT.NET.BBND.P2,https://data.worldbank.org
EUU,European Union,I3_secure_servers,infrastructure_posture,88161.9133,log1p,11.3869,programmatic,World Bank WDI IT.NET.SECR.P6,https://data.worldbank.org
EUU,European Union,I5_ndgain_readiness,infrastructure_posture,0.5848,none,0.5848,programmatic,ND-GAIN Country Index 2026,https://gain.nd.edu
TWN,Taiwan,C1_notable_models,capacity_depth,11.0,log1p,2.4849,programmatic,Epoch AI - Notable AI Models,https://epoch.ai/data/all_ai_models.csv
TWN,Taiwan,C2_training_compute,capacity_depth,8.5974258e+19,log1p,45.9006,programmatic,Epoch AI - Notable AI Models,https://epoch.ai/data/all_ai_models.csv
TWN,Taiwan,C3_ai_publications,capacity_depth,7760.0,log1p,8.9569,programmatic,OpenAlex Works API (concept C154945302),https://api.openalex.org/works
TWN,Taiwan,C4_ai_patents,capacity_depth,,log1p,,imputed_column_mean,"Stanford AI Index 2025, Fig 1.2.3",https://hai.stanford.edu/ai-index
TWN,Taiwan,C5_aisi_presence,capacity_depth,1.0,none,1.0,analyst_coded,AISI Network (NIST) + per-country citations (4.9.1),https://www.nist.gov/news-events/news/2024/11/fact-sheet-us-department-commerce-us-department-state-launch-international
TWN,Taiwan,G1_ai_strategy,governance_orientation,2.0,none,2.0,analyst_coded,OECD.AI Policy Observatory + per-country citations (4.9.1),https://oecd.ai/en/dashboards/national
TWN,Taiwan,G2_global_cybersec_index,governance_orientation,,none,96.4678,imputed_axis_mean,ITU GCI 2024 (via World Bank Data360),https://datahub.itu.int
TWN,Taiwan,G3_vdem_libdem,governance_orientation,0.704,none,0.704,programmatic,V-Dem v16 (v2x_libdem),https://www.v-dem.net
TWN,Taiwan,G5_igsc_membership,governance_orientation,0.0,none,0.0,programmatic,IGSC member roster,https://genesynthesisconsortium.org/
TWN,Taiwan,G6_australia_group,governance_orientation,0.0,none,0.0,inlined_authoritative,Australia Group - Participants,https://www.australiagroup.net/en/participants.html
TWN,Taiwan,I1_idi_2024,infrastructure_posture,,none,,imputed_column_mean,"ITU IDI 2024, Report Table 1",https://www.itu.int
TWN,Taiwan,I2_broadband,infrastructure_posture,,none,,imputed_column_mean,World Bank WDI IT.NET.BBND.P2,https://data.worldbank.org
TWN,Taiwan,I3_secure_servers,infrastructure_posture,,log1p,,imputed_column_mean,World Bank WDI IT.NET.SECR.P6,https://data.worldbank.org
TWN,Taiwan,I5_ndgain_readiness,infrastructure_posture,,none,,imputed_column_mean,ND-GAIN Country Index 2026,https://gain.nd.edu
